0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
کارآموزی,ReactJS,,,,,,,,,,,,,
Front-end,HTML5,CSS3,Bootstrap,Responsive,,,,,,,,,,
 OOP,pl-sql,Oracle Database,,,,,,,,,,,,
PHP,Full-stack,MySQL,codeigniter,RESTful,CSS,HTML,Javascript,,,,,,,
 OOP,C#,Entity Framework,.NET,ASP.NET MVC,MVC,,,,,,,,,
PHP, OOP,HTML,CSS, Git,MVC,,,,,,,,,
طراحی سایت,CSS,HTML,,,,,,,,,,,,
iOS Development,Swift,,,,,,,,,,,,,
Python,Django,Flask,Postgres,Redis,Composer,Node.js,Docker,,,,,,,
کارآموزی,طراحی سایت,,,,,,,,,,,,,
Wordpress, SEO,Google Trends,MOZ,Google Analytics ,woocommerce,,,,,,,,,
UI/UX,HTML5,CSS3,jQuery,Angular,vue.js,,,,,,,,,
Kotlin,Android,MVVM,Design Patterns, Git,,,,,,,,,,
Wordpress,woocommerce,CSS,HTML,Javascript,,,,,,,,,,
,,,,,,,,,,,,,,
ASP.NET, C#,MVC,T-SQL,CSS, jQuery,HTML,,,,,,,,
اسکرام,agile,,,,,,,,,,,,,
vue.js,ReactJS,HTML,CSS,Javascript,,,,,,,,,,
کارآموزی,برنامه‌ریزی,,,,,,,,,,,,,
PHP,MySQL,Framework,REST API,MVC,,,,,,,,,,
Linux,LPIC2,esxi,VMWare,Bash Scripting,,,,,,,,,,
تحلیل سیستم,مستندسازی,پایگاه داده,,,,,,,,,,,,
,,,,,,,,,,,,,,
NoSQL,Docker,CI/CD,Linux,,,,,,,,,,,
Javascript,HTML,CSS,Responsive Design, Git,,,,,,,,,,
PHP,Laravel,Javascript,jQuery,Sql Server,MySQL,react native,RestFul API,webservice,MVC,HTML,Bootstrap,CSS,,
CSS3,HTML5,Javascript,,,,,,,,,,,,
مدیریت فنی,Sql Server,,,,,,,,,,,,,
PHP,Laravel, Git,,,,,,,,,,,,
Wordpress,CSS,API,,,,,,,,,,,,
Android,Android Studio,Java, Git,Unit Testing,,,,,,,,,,
PHP, OOP,API,,,,,,,,,,,,
 OOP,Design Patterns,PHP,Laravel,MySQL,RestFul API, Git,,,,,,,,
ASP.NET,C#,ASP.NET MVC,Javascript,HTML5,CSS,Web API,Web Services,XML,Sql Server, Git,,,,
NoSQL,Docker,kubernetes,Linux,,,,,,,,,,,
Spring Data,spring framework,Spring Boot,Spring MVC, OOP,,,,,,,,,,
تحلیل سیستم,UML,RUP,,,,,,,,,,,,
HTML5,CSS3,Javascript,typescript,Angular,JSX,ES6,ES5,RestFul API, Front-end,,,,,
پشتیبانی نرم افزار,Sql Server,+NETWORK,,,,,,,,,,,,
تست نرم افزار,Qc,مستندسازی,Functional Testing,,,,,,,,,,,
react native,AngularJS,MVC,.NET,Bootstrap,,,,,,,,,,
Android,IOS,,,,,,,,,,,,,
NET.,C#.Net,VB.net,Sql Server,,,,,,,,,,,
Kotlin,Java,MVC,webservice,RestAPI,,,,,,,,,,
Wordpress,PHP, OOP,,,,,,,,,,,,
angular2,ES6,Javascript,SCSS,CSS3,HTML5,,,,,,,,,
,,,,,,,,,,,,,,
C++,Python,,,,,,,,,,,,,
react native,JSX,ReactJS,ES6,Javascript,,,,,,,,,,
Java,J2EE,oracle, SQL,RESTful,,,,,,,,,,
IOS,Swift,MVC,Object Oriented,,,,,,,,,,,
Back-end,PHP,MySQL,Laravel,PostgreSQL,,,,,,,,,,
Python,Back-end,Linux,Django,,,,,,,,,,,
Data Analysis,data modelling,ETL,visualisation,,,,,,,,,,,
C++,Qt framework,,,,,,,,,,,,,
PHP,Laravel,agile, Git,Web API,jQuery,CSS,HTML5,,,,,,,
Gameplay,++C,unreal engine,,,,,,,,,,,,
PHP,HTML,JS,CSS,MySQL,,,,,,,,,,
Android,Android Studio,APIs,REST, JSON,Unit Testing,Java,,,,,,,,
Flutter,REST API,Broadcast Receiver,,,,,,,,,,,,
Wordpress,CSS,PHP,MySQL,HTML,,,,,,,,,,
PHP,CSS,طراحی وب,Wordpress,,,,,,,,,,,
 PHP,Laravel, MySQL,REST API,,,,,,,,,,,
,,,,,,,,,,,,,,
Java,spring framework,Web Services, JSON,REST, OOP,,,,,,,,,
Javascript,jQuery,Angular,CSS,CSS3,HTML,HTML5,,,,,,,,
HTML5,jQuery,CSS3, Front-end,UI/UX,Wordpress, OOP,,,,,,,,
CMS,CSS,HTML,Javascript,,,,,,,,,,,
PHP,MySQL,MVC,,,,,,,,,,,,
ASP.NET MVC,linqtosql,.NET Core,SignalR,Web API,Design Patterns,,,,,,,,,
PHP,MySQL,MVC,,,,,,,,,,,,
.NET Core,.NET Framework ,ASP.NET Core,,,,,,,,,,,,
Python,Golang,Back-end,,,,,,,,,,,,
++C, OOP,,,,,,,,,,,,,
Software Testing,Jira,مهندسی نرم افزار,تهیه مستندات,,,,,,,,,,,
iOS SDK,Push Notification, Objective-C,RestFul API,,,,,,,,,,,
ReactJS,Redux, Front-end,Wireframe,typescript,,,,,,,,,,
